input,combined,chebyshev,cheon,
-0.947384,1.86784e-07,-1.00009,-0.999997,
-0.947262,2.16211e-07,-1.00032,-0.999997,
-0.94714,2.0404e-07,-1.00051,-0.999997,
-0.947018,1.84706e-07,-1.00062,-0.999997,
-0.946896,2.17849e-07,-1.00064,-0.999997,
-0.946774,1.73783e-07,-1.00057,-0.999997,
-0.946652,2.10053e-07,-1.00041,-0.999997,
-0.94653,1.95245e-07,-1.0002,-0.999997,
-0.946408,2.02829e-07,-0.99996,-0.999997,
-0.946286,1.63441e-07,-0.999724,-0.999997,
-0.946164,2.16999e-07,-0.999528,-0.999997,
-0.946042,2.30711e-07,-0.9994,-0.999997,
-0.94592,1.97547e-07,-0.999357,-0.999997,
-0.945797,2.09056e-07,-0.999406,-0.999997,
-0.945675,1.9172e-07,-0.999539,-0.999997,
-0.945553,2.09312e-07,-0.999736,-0.999997,
-0.945431,1.80472e-07,-0.999972,-0.999996,
-0.945309,2.20558e-07,-1.00021,-0.999996,
-0.945187,2.10815e-07,-1.00042,-0.999996,
-0.945065,1.90168e-07,-1.00057,-0.999996,
-0.944943,1.55084e-07,-1.00064,-0.999996,
-0.944821,1.90111e-07,-1.00062,-0.999996,
-0.944699,2.11546e-07,-1.00051,-0.999996,
-0.944577,1.82207e-07,-1.00034,-0.999996,
-0.944455,2.07236e-07,-1.00011,-0.999996,
-0.944333,1.67082e-07,-0.999874,-0.999996,
-0.94421,1.88587e-07,-0.999652,-0.999996,
-0.944088,1.64229e-07,-0.999478,-0.999996,
-0.943966,1.81883e-07,-0.999376,-0.999996,
-0.943844,2.00698e-07,-0.99936,-0.999996,
-0.943722,1.97604e-07,-0.999432,-0.999996,
-0.9436,2.18611e-07,-0.999581,-0.999996,
-0.943478,1.85879e-07,-0.999787,-0.999996,
-0.943356,1.97531e-07,-1.00002,-0.999996,
-0.943234,2.10255e-07,-1.00025,-0.999996,
-0.943112,2.07287e-07,-1.00045,-0.999996,
-0.94299,2.06102e-07,-1.00059,-0.999996,
-0.942868,1.95902e-07,-1.00064,-0.999996,
-0.942746,1.85516e-07,-1.00061,-0.999996,
-0.942623,1.82902e-07,-1.0005,-0.999995,
-0.942501,2.09731e-07,-1.00032,-0.999995,
-0.942379,2.09449e-07,-1.0001,-0.999995,
-0.942257,2.00172e-07,-0.999862,-0.999995,
-0.942135,2.1664e-07,-0.999645,-0.999995,
-0.942013,2.02385e-07,-0.999476,-0.999995,
-0.941891,1.68188e-07,-0.999376,-0.999995,
-0.941769,1.79899e-07,-0.999359,-0.999995,
-0.941647,2.00778e-07,-0.999427,-0.999995,
-0.941525,2.1313e-07,-0.999571,-0.999995,
-0.941403,1.82054e-07,-0.999771,-0.999995,
-0.941281,2.14471e-07,-1,-0.999995,
-0.941159,1.97663e-07,-1.00023,-0.999995,
-0.941036,2.1239e-07,-1.00043,-0.999995,
-0.940914,2.16045e-07,-1.00057,-0.999995,
-0.940792,1.66509e-07,-1.00064,-0.999995,
-0.94067,1.97783e-07,-1.00063,-0.999995,
-0.940548,2.06465e-07,-1.00053,-0.999995,
-0.940426,1.73622e-07,-1.00036,-0.999995,
-0.940304,1.4016e-07,-1.00015,-0.999995,
-0.940182,1.90502e-07,-0.999919,-0.999994,
-0.94006,2.3285e-07,-0.999697,-0.999994,
-0.939938,1.79352e-07,-0.999515,-0.999994,
-0.939816,2.25019e-07,-0.999396,-0.999994,
-0.939694,1.82662e-07,-0.999354,-0.999994,
-0.939572,2.10573e-07,-0.999394,-0.999994,
-0.939449,1.56785e-07,-0.999512,-0.999994,
-0.939327,1.86315e-07,-0.999692,-0.999994,
-0.939205,1.82112e-07,-0.999911,-0.999994,
-0.939083,1.95716e-07,-1.00014,-0.999994,
-0.938961,1.59579e-07,-1.00035,-0.999994,
-0.938839,1.58537e-07,-1.00052,-0.999994,
-0.938717,1.95845e-07,-1.00062,-0.999994,
-0.938595,1.92694e-07,-1.00064,-0.999994,
-0.938473,1.93149e-07,-1.00059,-0.999994,
-0.938351,1.79418e-07,-1.00045,-0.999994,
-0.938229,2.13175e-07,-1.00027,-0.999994,
-0.938107,1.83139e-07,-1.00004,-0.999993,
-0.937984,2.07958e-07,-0.999817,-0.999993,
-0.937862,1.64236e-07,-0.999613,-0.999993,
-0.93774,2.05124e-07,-0.999457,-0.999993,
-0.937618,1.70767e-07,-0.999369,-0.999993,
-0.937496,2.05731e-07,-0.999359,-0.999993,
-0.937374,1.8387e-07,-0.999429,-0.999993,
-0.937252,1.94917e-07,-0.999569,-0.999993,
-0.93713,2.03395e-07,-0.999762,-0.999993,
-0.937008,2.2085e-07,-0.999984,-0.999993,
-0.936886,2.0095e-07,-1.00021,-0.999993,
-0.936764,1.86987e-07,-1.00041,-0.999993,
-0.936642,2.30424e-07,-1.00056,-0.999993,
